id,crashId,Operator,Flight #,Route,Type,Registration,
1,1,Military - U.S. Army,,Demonstration,Wright Flyer III,,
2,2,Military - U.S. Navy,,Test flight,Dirigible,,
3,3,Private,-,,Curtiss seaplane,,
4,4,Military - German Navy,,,Zeppelin L-1 (airship),,
5,5,Military - German Navy,,,Zeppelin L-2 (airship),,
6,6,Military - German Navy,,,Zeppelin L-8 (airship),,
7,7,Military - German Navy,,,Zeppelin L-10 (airship),,
8,8,Military - German Army,,,Schutte-Lanz S-L-10 (airship),,
9,9,Military - German Navy,,,Zeppelin L-32 (airship),,
10,10,Military - German Navy,,,Zeppelin L-31 (airship),,
11,11,Military - German Army,,,Super Zeppelin (airship),,
12,12,Military - German Navy,,,Zeppelin L-34 (airship),,
13,13,Military - German Army,,,Airship,,
14,14,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,
15,15,Military - German Navy,,,Zeppelin L-22 (airship),,
16,16,Military - German Navy,,,Zeppelin L-43 (airship),,
17,17,Military - German Navy,,,Zeppelin L-23 (airship),,
18,18,Military - German Navy,,,Zeppelin L-44 (airship),,
19,19,Military - German Navy,,,Zeppelin L-59 (airship),,
20,20,Military - German Navy,,,Zeppelin L-70 (airship),,
21,21,Military - German Navy,,,Zeppelin L-53 (airship),,
22,22,US Aerial Mail Service,,,De Havilland DH-4,97,
23,23,US Aerial Mail Service,,,De Havilland DH-4,61,
24,24,US Aerial Mail Service,,,De Havilland DH-4,82,
25,25,Aircraft Transport and Travel,,,De Havilland DH-4,,
26,26,US Aerial Mail Service,,,Curtiss R-4LM,32,
27,27,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,
28,28,US Aerial Mail Service,,,De Havilland DH.4,77,
29,29,US Aerial Mail Service,,,De Havilland DH-4,65,
30,30,US Aerial Mail Service,,,De Havilland DH-4,72,
31,31,US Aerial Mail Service,,,Curtiss R-4LM,49,
32,32,US Aerial Mail Service,,,Curtiss JN-4H,44,
33,33,US Aerial Mail Service,,,De Havilland DH-4,79,
34,34,US Aerial Mail Service,,,De Havilland DH-4,204,
35,35,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,
36,36,US Aerial Mail Service,,,De Havilland DH-4,317,
37,37,US Aerial Mail Service,,,Junkers JL-6,305,
38,38,US Aerial Mail Service,,,Junkers F-13,308,
39,39,US Aerial Mail Service,,,De Havilland DH-4,316,
40,40,Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,
41,41,Latecoere Airlines,,,Breguet 14,F-ALTA,
42,42,US Aerial Mail Service,,,De Havilland DH-4,76,
43,43,US Aerial Mail Service,,,De Havilland DH-4,,
44,44,Handley Page Transport,,,Handley Page HP-16,G-EAMA,
45,45,Aeropostale,,,Breguet 14,F-ALBO,
46,46,US Aerial Mail Service,,,De Havilland DH-4,130,
47,47,US Aerial Mail Service,,,Junkers F-13,301,
48,48,Aeropostale,,,Breguet 14,F-ALBA,
49,49,US Aerial Mail Service,,,De Havilland DH-4,67,
50,50,Military - Royal Australian Air Force,,,,H3021,
51,51,US Aerial Mail Service,,,De Havilland DH-4,160,
52,52,US Aerial Mail Service,,,De Havilland DH-4,196,
53,53,US Aerial Mail Service,,,,176,
54,54,US Aerial Mail Service,,,De Havilland DH-4,222,
55,55,Aeropostale,,,Breguet 14,F-ALBI,
56,56,Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,
57,57,Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,
58,58,West Australian Airways,,,Bristol 28 Tourer,G-AUDI,
59,59,Handley Page Transport,,,Handley Page O/10,G-EATN,
60,60,Military - U.S. Army Air Service,,,Dirigible Roma (airship),,
61,61,Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,
62,62,,,,,,
63,63,Vickers,,,Vickers Viking,G-EBBZ,
64,64,US Aerial Mail Service,,,De Havilland DH-4,385,
65,65,Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,
66,66,Grands Express Aeriens,,,Breguet 14,,
67,67,US Aerial Mail Service,,,De Havilland DH-4,227,
68,68,,,,de Havilland DH-9,G-EAYT,
69,69,Grands Express Aeriens,,,Breguet 14,,
70,70,Grands Express Aeriens,,,Breguet 14,,
71,71,Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,
72,72,Grands Express Aeriens,,,Breguet 14,F-ALJU,
73,73,US Aerial Mail Service,,,De Havilland DH-4,223,
74,74,US Aerial Mail Service,,,De Havilland DH-4,291,
75,75,Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,
76,76,Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,
77,77,US Aerial Mail Service,,,De Havilland DH-4,283,
78,78,Daimler Airways,,,de Havilland DH-34,G-EBBS,
79,79,CCCP,,,Junkers F-13,D-257,
80,80,US Aerial Mail Service,,,De Havilland DH-4,318,
81,81,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,
82,82,US Aerial Mail Service,,,De Havilland DH-4,315,
83,83,US Aerial Mail Service,,,De Havilland DH-4,327,
84,84,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,
85,85,SCADTA,,,Junkers F-13,A16,
86,86,US Aerial Mail Service,,,De Havilland DH-4,297,
87,87,Grands Express Aeriens,,,,F-AFBD,
88,88,US Aerial Mail Service,,,De Havilland DH-4,311,
89,89,Imperial Airways,,,de Havilland DH-34B,G-EBBX,
90,90,Zakavia,,,Junkers F-13,R-RECA,
91,91,Grands Express Aeriens,,,Breguet 14,,
92,92,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,
93,93,KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,
94,94,Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,
95,95,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,
96,96,CIDNA,,,Potez IX,,
97,97,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,
98,98,CIDNA,,,,,
99,99,Air Union,,,Farman F-60 Goliath,F-AMFY,
100,100,US Aerial Mail Service,,,Curtiss Carrier Pigeon,,
101,101,Deutche Lufthansa,,,Junkers F-13,,
102,102,Air Union,,,Breguet 14,F-ADAI,
103,103,Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,
104,104,KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,
105,105,Deutsche Lufthansa,,,Junkers F-13,D-272,
106,106,Air Union,,,Bleriot 155,F-AIEB,
107,107,,,New York - Paris,Sikorsky S-25,,
108,108,Deutsche Lufthansa,,,Fokker FG III,D-468,
109,109,Imperial Airways,,,Handley Page W-10,G-EBMS,
110,110,Grands Express Aeriens,,,Breguet 14,,
111,111,PacifiAir Transport,,,Ryan M-1,2,
112,112,KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,
113,113,Grands Express Aeriens,,,Breguet 14,F-ALRA,
114,114,Qantas,,,de Havilland DH-9C,G-AUED,
115,115,Varney Air Lines,,,,,
116,116,US Aerial Mail Service,,,Douglas M-4,626,
117,117,Deutsche Lufthansa,,,Fokker FG III,D-729,
118,118,Air Union,,,SPCA Meteore 63,,
119,119,Deutsche Lufthansa,,,Junkers F-13,D-206,
120,120,KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,
121,121,Colonial Air Transport,,,Fokker Universal,,
122,122,Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,
123,123,Deutsche Lufthansa,,,BFW M-18,D-1177,
124,124,Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,
125,125,Lignes Aeriennes Latecoere,,,Breguet 14,F-AGBN,
126,126,Colonial Air Transport,,,Fairchild FC-2,,
127,127,CIDNA,,,Farman F-121 Jabiru,,
128,128,Aero O-Y,,,Junkers F-13,K-SALD,
129,129,National Air Transport,,,Douglas M-4,,
130,130,Aeropostale,,,Breguet 14,,
131,131,Aeropostale,,,Breguet 14,F-AFGS,
132,132,Latecoere Airlines,,,Latécoère 23,,
133,133,Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,
