id,crashId,Aboard,Fatalities,Ground,
1,1,2,1,0,
2,2,5,5,0,
3,3,1,1,0,
4,4,20,14,0,
5,5,30,30,0,
6,6,41,21,0,
7,7,19,19,0,
8,8,20,20,0,
9,9,22,22,0,
10,10,19,19,0,
11,11,28,27,0,
12,12,20,20,0,
13,13,20,20,0,
14,14,23,23,0,
15,15,21,21,0,
16,16,24,24,0,
17,17,18,18,0,
18,18,18,18,0,
19,19,23,23,0,
20,20,22,22,0,
21,21,19,19,0,
22,22,1,1,0,
23,23,1,1,0,
24,24,1,1,0,
25,25,1,1,0,
26,26,1,1,0,
27,27,,,,
28,28,1,1,0,
29,29,1,1,0,
30,30,1,1,0,
31,31,2,1,0,
32,32,2,1,0,
33,33,2,1,0,
34,34,1,1,0,
35,35,1,1,0,
36,36,1,1,0,
37,37,2,2,0,
38,38,2,2,0,
39,39,1,1,0,
40,40,2,2,0,
41,41,2,2,0,
42,42,1,1,0,
43,43,1,1,0,
44,44,8,4,0,
45,45,1,1,0,
46,46,1,1,0,
47,47,3,3,0,
48,48,2,2,0,
49,49,1,1,0,
50,50,2,1,0,
51,51,1,1,0,
52,52,1,1,0,
53,53,1,1,0,
54,54,1,1,0,
55,55,2,2,0,
56,56,46,46,1,
57,57,5,5,0,
58,58,3,3,0,
59,59,5,5,5,
60,60,45,34,0,
61,61,7,7,0,
62,62,17,17,0,
63,63,3,3,0,
64,64,1,1,0,
65,65,3,3,0,
66,66,3,3,0,
67,67,1,1,0,
68,68,4,4,0,
69,69,2,2,0,
70,70,1,1,0,
71,71,4,3,0,
72,72,1,1,0,
73,73,1,1,0,
74,74,1,1,0,
75,75,6,6,0,
76,76,2,2,0,
77,77,1,1,0,
78,78,6,6,0,
79,79,4,2,0,
80,80,1,1,0,
81,81,52,52,0,
82,82,1,1,0,
83,83,1,1,0,
84,84,3,3,0,
85,85,3,3,0,
86,86,1,1,0,
87,87,1,1,0,
88,88,1,1,0,
89,89,8,8,0,
90,90,5,5,0,
91,91,4,4,0,
92,92,2,2,0,
93,93,4,4,0,
94,94,2,2,0,
95,95,1,1,0,
96,96,1,1,0,
97,97,43,14,0,
98,98,3,3,0,
99,99,2,2,0,
100,100,1,1,0,
101,101,1,1,0,
102,102,1,1,0,
103,103,7,7,0,
104,104,2,2,0,
105,105,4,4,0,
106,106,4,4,0,
107,107,5,2,0,
108,108,4,4,0,
109,109,12,0,0,
110,110,3,3,0,
111,111,1,1,0,
112,112,2,2,0,
113,113,1,1,0,
114,114,3,3,0,
115,115,1,1,0,
116,116,1,1,0,
117,117,2,2,0,
118,118,3,1,0,
119,119,5,5,0,
120,120,11,1,0,
121,121,1,1,0,
122,122,12,7,0,
123,123,4,2,0,
124,124,6,6,0,
125,125,2,2,0,
126,126,4,4,0,
127,127,1,1,0,
128,128,6,6,0,
129,129,1,1,0,
130,130,2,2,0,
131,131,1,1,0,
132,132,4,4,0,
133,133,3,3,0,
134,134,2,2,0,
135,135,2,2,0,
136,136,2,1,0,
137,137,1,1,0,
138,138,2,1,0,
139,139,10,10,0,
140,140,2,2,0,
141,141,2,1,0,
142,142,9,9,0,
143,143,1,1,0,
144,144,2,2,0,
145,145,5,3,0,
146,146,5,5,0,
147,147,1,1,0,
148,148,6,6,0,
149,149,4,4,0,
150,150,1,1,0,
151,151,7,7,0,
152,152,3,3,0,
153,153,2,1,0,
154,154,7,7,0,
155,155,3,3,0,
156,156,3,3,0,
157,157,1,1,0,
158,158,2,1,0,
159,159,2,1,0,
160,160,3,3,0,
161,161,1,1,0,
162,162,3,3,0,
163,163,5,5,0,
164,164,14,14,0,
165,165,6,6,0,
166,166,4,3,0,
167,167,1,1,0,
168,168,4,4,0,
169,169,3,2,0,
170,170,1,1,0,
171,171,1,1,0,
172,172,9,2,0,
173,173,1,1,0,
174,174,2,2,0,
175,175,15,14,0,
176,176,4,4,0,
177,177,6,6,0,
178,178,2,2,0,
179,179,5,4,0,
180,180,5,2,0,
181,181,2,1,0,
182,182,13,7,0,
183,183,8,1,0,
184,184,5,5,0,
185,185,1,1,0,
186,186,4,4,0,
187,187,1,1,0,
188,188,1,1,0,
189,189,5,4,0,
190,190,2,1,0,
191,191,8,8,0,
192,192,5,3,0,
193,193,5,5,0,
194,194,2,1,0,
195,195,1,1,0,
196,196,7,7,0,
197,197,1,1,0,
198,198,2,2,0,
199,199,4,4,0,
200,200,8,7,0,
201,201,3,3,0,
202,202,1,1,0,
203,203,1,1,0,
204,204,3,3,0,
205,205,3,2,0,
206,206,5,5,0,
207,207,1,1,0,
208,208,3,3,0,
209,209,16,16,0,
210,210,2,2,0,
211,211,5,5,0,
212,212,1,1,0,
213,213,2,2,0,
214,214,4,4,0,
215,215,4,3,0,
216,216,15,1,0,
217,217,8,5,0,
218,218,5,5,0,
219,219,11,10,0,
220,220,2,2,0,
221,221,3,3,0,
222,222,54,48,0,
223,223,8,8,0,
224,224,4,4,0,
225,225,3,3,0,
226,226,6,3,0,
227,227,1,1,0,
228,228,9,1,0,
229,229,3,3,,
230,230,6,4,0,
231,231,2,2,0,
232,232,1,1,0,
233,233,1,1,0,
234,234,3,2,0,
235,235,3,1,0,
236,236,8,8,0,
237,237,8,8,0,
238,238,10,2,0,
239,239,2,2,0,
240,240,1,1,0,
241,241,1,1,0,
242,242,4,4,0,
243,243,3,2,0,
244,244,4,4,0,
245,245,2,2,0,
246,246,2,2,0,
247,247,1,1,0,
248,248,7,7,0,
249,249,6,6,0,
250,250,1,1,0,
251,251,4,4,0,
252,252,3,3,0,
253,253,3,3,0,
254,254,5,5,0,
255,255,3,3,0,
256,256,1,1,0,
257,257,3,3,0,
258,258,1,1,0,
259,259,6,2,0,
260,260,7,5,0,
261,261,2,2,0,
262,262,5,4,0,
263,263,1,1,0,
264,264,8,8,0,
265,265,5,5,0,
266,266,1,1,0,
267,267,2,1,0,
268,268,3,3,0,
269,269,5,2,0,
270,270,7,7,0,
271,271,1,1,0,
272,272,3,3,0,
273,273,1,1,0,
274,274,1,1,0,
275,275,2,2,0,
276,276,3,3,0,
277,277,9,9,0,
278,278,7,1,0,
279,279,2,2,0,
280,280,4,3,0,
281,281,2,1,0,
282,282,3,3,0,
283,283,1,1,0,
284,284,2,2,0,
285,285,2,2,0,
286,286,5,5,0,
287,287,2,2,0,
288,288,2,2,0,
289,289,1,1,0,
290,290,2,2,0,
291,291,1,1,0,
292,292,2,2,0,
293,293,1,1,0,
294,294,1,1,0,
295,295,3,1,0,
296,296,2,2,0,
297,297,3,3,11,
298,298,15,15,0,
299,299,2,1,0,
300,300,76,73,0,
301,301,6,6,0,
302,302,4,4,0,
303,303,6,6,0,
304,304,1,1,0,
305,305,5,5,0,
306,306,8,8,0,
307,307,10,10,0,
308,308,2,2,0,
309,309,9,4,,
310,310,1,1,0,
311,311,8,8,,
312,312,20,14,0,
313,313,2,2,0,
314,314,8,7,0,
315,315,6,4,0,
316,316,10,10,0,
317,317,14,14,0,
318,318,2,2,0,
319,319,8,8,0,
320,320,6,1,0,
321,321,4,4,0,
322,322,6,5,0,
323,323,15,3,0,
324,324,3,3,0,
325,325,6,6,0,
326,326,2,2,0,
